state_name,pc_no,pc_name,total_electors,male_electors,female_electors,third_gender_electors,previous_turnout_pct,target_turnout_pct
Mizoram,1,MIZORAM (ST),861327,419677,441650,0,63.138136243412944,57.1
Nagaland,1,Nagaland,1325383,664460,660923,0,83.00017218978445,57.84
Odisha,1,Bargarh,1633893,822825,810946,122,78.37410495586641,80.33
Odisha,2,Sundargarh (ST),1579096,780601,798327,168,71.89232954081716,73.44
Odisha,3,Sambalpur,1501538,753505,747896,137,76.720393863251,79.97
Odisha,4,Keonjhar (ST),1589941,791403,798443,95,77.56895287626723,79.17
Odisha,5,Mayurbhanj (ST),1546274,767080,779143,51,77.12892737433909,76.19
Odisha,6,Balasore,1610043,817822,792067,154,75.6867332862857,77.08
Odisha,7,Bhadrak (SC),1773928,912525,861215,188,73.90472545242382,73.49
Odisha,8,Jajpur (SC),1548594,797675,750851,68,74.0989703777677,75.01
Odisha,9,Dhenkanal,1533702,792631,740900,171,75.3264251666608,78.37
Odisha,10,Bolangir,1803544,919930,883309,305,74.90882492206696,77.87
Odisha,11,Kalahandi,1702038,852184,849744,110,76.40510323663486,78.64
Odisha,12,Nabarangpur (ST),1514610,742873,771621,116,79.51976859748501,82.54
Odisha,13,Kandhamal,1340580,672860,667607,113,73.10202954062574,74.58
Odisha,14,Cuttack,1574979,813196,761574,209,69.8131528983618,71.31
Odisha,15,Kendrapara,1795725,929863,865772,90,72.38508494864739,71.47
Odisha,16,Jagatsinghpur (SC),1703489,879289,824064,136,74.82542840541618,75.8
Odisha,17,Puri,1589698,823575,766014,109,72.71980137371659,75.58
Odisha,18,Bhubaneswar,1675019,870888,803561,570,59.16555959422902,64.69
Odisha,19,Aska,1623404,847842,775419,143,65.78809910813064,62.74
Odisha,20,Berhampur,1595228,801105,793974,149,65.89794702669963,65.61
Odisha,21,Koraput (ST),1481642,707468,773914,260,75.34028544657497,77.97
Punjab,1,Gurdaspur,1627611,870817,756758,36,69.23820460808233,66.42
Punjab,2,Amritsar,1617542,851513,765966,63,57.07250269418884,56
Punjab,3,Khadoor Sahib,1680035,888196,791772,67,63.9567450675538,62.46
Punjab,4,Jalandhar (SC),1655868,861405,794419,44,63.04215537489378,59.75
Punjab,5,Hoshiarpur (SC),1618186,846758,771384,44,62.076056338028174,58.65
Punjab,6,Anandpur Sahib,1740606,912163,828379,64,63.69058130199026,61.9
Punjab,7,Ludhiana,1760756,939148,821474,134,62.19981287036075,60.18
Punjab,8,Fatehgarh Sahib (SC),1557201,827814,729355,32,65.68544928639442,62.58
Punjab,9,Faridkot (SC),1599861,847823,751957,81,63.246455348382035,63.41
Punjab,10,Firozpur,1674979,885391,789540,48,72.46584475342912,67.31
Punjab,11,Bathinda,1659163,877751,781378,34,74.15764356642008,69.42
Punjab,12,Sangrur,1563808,831022,732740,46,72.39659716587411,64.63
Punjab,13,Patiala,1811580,949230,862270,80,67.76540584042309,63.6
Rajasthan,1,GANGANAGAR (SC),2103968,1098275,1005628,65,74.76693940681847,67.22
